enriched corn meal,vegan,vegetarian,kosher,halal
corn meal,vegan,vegetarian,kosher,halal
ferrous sulfate,vegan,vegetarian,kosher,halal
niacin,vegan,vegetarian,kosher,halal
thiamin mononitrate,vegan,vegetarian,kosher,halal
riboflavin ,vegan,vegetarian,kosher,halal
folic acid,vegan,vegetarian,kosher,halal
vegetable oil,vegan,vegetarian,non-kosher,non-halal
corn,vegan,vegetarian,kosher,halal
canola,vegan,vegetarian,kosher,halal
sunflower oil,vegan,vegetarian,kosher,halal
cheese seasoning,non-vegan,vegetarian,non-kosher,non-halal
whey,non-vegan,vegetarian,non-kosher,non-halal
cheddar cheese,non-vegan,vegetarian,non-kosher,non-halal
milk,non-vegan,vegetarian,non-kosher,halal
cheese cultures,non-vegan,vegetarian,non-kosher,non-halal
salt,vegan,vegetarian,kosher,halal
maltodextrin,vegan,vegetarian,non-kosher,non-halal
monosodium glutamate,vegan,vegetarian,non-kosher,non-halal
lactic acid,vegan,vegetarian,non-kosher,non-halal
citric acid,vegan,vegetarian,non-kosher,non-halal
enriched unbleached flour,vegan,vegetarian,kosher,halal
wheat flour,vegan,vegetarian,kosher,halal
malted barley flour,vegan,vegetarian,kosher,halal
ascorbic acid,vegan,vegetarian,kosher,halal
sugar,vegan,vegetarian,non-kosher,halal
leavening,vegan,vegetarian,non-kosher,non-halal
baking soda,vegan,vegetarian,kosher,halal
soybean oil,vegan,vegetarian,non-kosher,non-halal
honey powder,non-vegan,vegetarian,non-kosher,non-halal
eggs,non-vegan,vegetarian,non-kosher,halal
butter,non-vegan,vegetarian,non-kosher,halal
gelatin,non-vegan,vegetarian,non-kosher,non-halal
beef,non-vegan,non-vegetarian,non-kosher,non-halal
shellfish,non-vegan,non-vegetarian,non-kosher,non-halal
chicken,non-vegan,non-vegetarian,non-kosher,non-halal
eggs,non-vegan,vegetarian,non-kosher,halal
pork,non-vegan,non-vegetarian,non-kosher,non-halal
lamb,non-vegan,non-vegetarian,non-kosher,non-halal
turkey,non-vegan,non-vegetarian,non-kosher,non-halal
fish,non-vegan,non-vegetarian,non-kosher,non-halal
tuna,non-vegan,non-vegetarian,non-kosher,non-halal
shrimp,non-vegan,non-vegetarian,non-kosher,non-halal
crab,non-vegan,non-vegetarian,non-kosher,non-halal
bacon,non-vegan,non-vegetarian,non-kosher,non-halal
meat,non-vegan,non-vegetarian,non-kosher,non-halal